tick,timestamp,x,y,heading,battery,raw_x,raw_y,raw_z,qx,qy,qz,qw,n_agents_seen,front_d,back_d,right_d,left_d,ir_front_max,ir_rear_max,v,w,left,right,hostname
1,1788225405.3730958,-2.1007325649261475,0.7329450249671936,-2.6065271686202216,100.0,-2.1007325649261475,0.136493444442749,0.7329450249671936,0.0537551157176494,-0.4531867802143097,0.0660856440663337,-0.8873358368873596,5,-0.9669759050058196,1.0,1.0,1.0,0,0,0.0,-0.6218042517830153,94,-94,thymio-08
2,1788225405.9766884,2.6727538108825684,-0.1045781224966049,-0.5298370494168161,100.0,2.6727538108825684,0.0836498588323593,-0.1045781224966049,0.52336186170578,0.650935709476471,0.3476147651672363,-0.4260739684104919,5,-0.6226976064349687,1.0,-0.559093962820342,1.0,0,0,0.1313048953233769,-0.6118954638697536,500,374,thymio-08
3,1788225406.5848176,2.668009042739868,-0.1141778007149696,-0.0357589708484011,99.9,2.668009042739868,0.0835132151842117,-0.1141778007149696,0.4690365493297577,0.7077033519744873,0.4142978191375732,-0.3278994560241699,5,-0.608802198203787,-0.4273328145008698,-0.5460388875076803,1.0,0,0,-0.0466307581610388,-0.6063387921950463,-74,-257,thymio-08
4,1788225407.1944623,2.668009042739868,-0.1141778007149696,-0.0357589708484011,99.8,2.668009042739868,0.0835132151842117,-0.1141778007149696,0.4690365493297577,0.7077033519744873,0.4142978191375732,-0.3278994560241699,5,-0.608802198203787,-0.4273328145008698,-0.5460388875076803,1.0,0,0,-0.0466307581610388,-0.6267649239880776,-71,-260,thymio-08
5,1788225407.8023162,2.629430294036865,-0.0714418441057205,0.2198947672016422,99.55130561867388,2.629430294036865,0.0839508175849914,-0.0714418441057205,0.4060531258583069,0.7426314353942871,0.46895831823349,-0.2523838579654693,5,1.0,-0.3759964322570884,-0.5847789918970103,1.0,0,0,-0.05,-0.626402821890121,-83,-272,thymio-08
6,1788225408.4108706,2.6841788291931152,-0.1150965467095375,0.4086880630767813,99.45130561867389,2.6841788291931152,0.0834914445877075,-0.1150965467095375,0.1898514032363891,0.7872129082679749,0.5812184810638428,0.0802332833409309,5,1.0,-0.5087608163485151,-0.5935154140551694,1.0,0,0,-0.0497034017749109,-0.6276849471071948,-82,-271,thymio-08
7,1788225409.0195072,2.6841788291931152,-0.1150965467095375,0.4086880630767813,99.35130561867388,2.6841788291931152,0.0834914445877075,-0.1150965467095375,0.1898514032363891,0.7872129082679749,0.5812184810638428,0.0802332833409309,5,1.0,-0.5087608163485151,-0.5935154140551694,1.0,0,0,0.1602880464233504,-0.6274226368704688,500,475,thymio-08
8,1788225409.6279476,2.7241973876953125,-0.1196525320410728,0.5311499558892416,99.25130561867388,2.7241973876953125,0.0812996476888656,-0.1196525320410728,0.0455192923545837,0.7910178899765015,0.5857065320014954,0.1707824617624282,5,1.0,-0.5321339184986847,-0.6478702173925956,1.0,0,0,0.0387780863040882,-0.6268159600327521,232,43,thymio-08
9,1788225410.2360592,2.739431619644165,-0.1441565155982971,0.3223534375129988,99.15130561867387,2.739431619644165,0.0830528065562248,-0.1441565155982971,-0.0675982162356376,0.6839534640312195,0.6200000047683716,0.3784681260585785,5,1.0,-0.5997432939554361,-0.690416558318816,1.0,0,0,0.0302262717779179,-0.6259153885372201,202,13,thymio-08
10,1788225410.8451128,2.721916437149048,-0.1802876740694046,0.1358455808242387,99.01520435610097,2.721916437149048,0.0827924832701683,-0.1802876740694046,-0.1733089536428451,0.6175546646118164,0.5879296064376831,0.4928782880306244,5,1.0,-0.6403735700166073,-0.6781941717556723,1.0,0,0,0.0326829714771098,-0.6255887881516525,211,22,thymio-08
