🚀 Sweeping 9 agent counts x 5 seeds = 45 runs, stages=['walk_left', 'save_battery_avoid_wall', 'save_battery_avoid_all'], parallel=8
   Results in 'hebbian_results_v2_original_sweep/n<N>_seed<S>/', each with its own log.txt.
[1/45] n_agents=2 seed=777 -> OK (201.9 min) -- hebbian_results_v2_original_sweep/n2_seed777/log.txt
[2/45] n_agents=2 seed=888 -> OK (205.5 min) -- hebbian_results_v2_original_sweep/n2_seed888/log.txt
[3/45] n_agents=3 seed=42 -> OK (214.8 min) -- hebbian_results_v2_original_sweep/n3_seed42/log.txt
[4/45] n_agents=2 seed=123 -> OK (228.9 min) -- hebbian_results_v2_original_sweep/n2_seed123/log.txt
[5/45] n_agents=3 seed=777 -> OK (242.6 min) -- hebbian_results_v2_original_sweep/n3_seed777/log.txt
[6/45] n_agents=2 seed=42 -> OK (252.5 min) -- hebbian_results_v2_original_sweep/n2_seed42/log.txt
[7/45] n_agents=2 seed=2026 -> OK (261.9 min) -- hebbian_results_v2_original_sweep/n2_seed2026/log.txt
[8/45] n_agents=3 seed=123 -> OK (299.5 min) -- hebbian_results_v2_original_sweep/n3_seed123/log.txt
[9/45] n_agents=3 seed=2026 -> OK (199.0 min) -- hebbian_results_v2_original_sweep/n3_seed2026/log.txt
[10/45] n_agents=3 seed=888 -> OK (208.2 min) -- hebbian_results_v2_original_sweep/n3_seed888/log.txt
[11/45] n_agents=4 seed=123 -> OK (215.1 min) -- hebbian_results_v2_original_sweep/n4_seed123/log.txt
[12/45] n_agents=4 seed=2026 -> OK (198.6 min) -- hebbian_results_v2_original_sweep/n4_seed2026/log.txt
[13/45] n_agents=4 seed=777 -> OK (217.7 min) -- hebbian_results_v2_original_sweep/n4_seed777/log.txt
[14/45] n_agents=4 seed=888 -> OK (210.2 min) -- hebbian_results_v2_original_sweep/n4_seed888/log.txt
[15/45] n_agents=4 seed=42 -> OK (282.1 min) -- hebbian_results_v2_original_sweep/n4_seed42/log.txt
[16/45] n_agents=5 seed=42 -> OK (202.0 min) -- hebbian_results_v2_original_sweep/n5_seed42/log.txt
[17/45] n_agents=5 seed=123 -> OK (195.8 min) -- hebbian_results_v2_original_sweep/n5_seed123/log.txt
[18/45] n_agents=5 seed=777 -> OK (218.1 min) -- hebbian_results_v2_original_sweep/n5_seed777/log.txt
[19/45] n_agents=5 seed=2026 -> OK (192.3 min) -- hebbian_results_v2_original_sweep/n5_seed2026/log.txt
[20/45] n_agents=5 seed=888 -> OK (196.6 min) -- hebbian_results_v2_original_sweep/n5_seed888/log.txt
[21/45] n_agents=6 seed=42 -> OK (224.6 min) -- hebbian_results_v2_original_sweep/n6_seed42/log.txt
[22/45] n_agents=6 seed=2026 -> OK (193.2 min) -- hebbian_results_v2_original_sweep/n6_seed2026/log.txt
[23/45] n_agents=6 seed=777 -> OK (236.7 min) -- hebbian_results_v2_original_sweep/n6_seed777/log.txt
[24/45] n_agents=6 seed=123 -> OK (277.0 min) -- hebbian_results_v2_original_sweep/n6_seed123/log.txt
[25/45] n_agents=6 seed=888 -> OK (243.2 min) -- hebbian_results_v2_original_sweep/n6_seed888/log.txt
[26/45] n_agents=7 seed=123 -> OK (248.8 min) -- hebbian_results_v2_original_sweep/n7_seed123/log.txt
[27/45] n_agents=7 seed=42 -> OK (273.7 min) -- hebbian_results_v2_original_sweep/n7_seed42/log.txt
[28/45] n_agents=7 seed=2026 -> OK (251.0 min) -- hebbian_results_v2_original_sweep/n7_seed2026/log.txt
[29/45] n_agents=7 seed=777 -> OK (295.0 min) -- hebbian_results_v2_original_sweep/n7_seed777/log.txt
[30/45] n_agents=7 seed=888 -> OK (264.1 min) -- hebbian_results_v2_original_sweep/n7_seed888/log.txt
[31/45] n_agents=8 seed=42 -> OK (278.8 min) -- hebbian_results_v2_original_sweep/n8_seed42/log.txt
[32/45] n_agents=8 seed=123 -> OK (283.0 min) -- hebbian_results_v2_original_sweep/n8_seed123/log.txt
[33/45] n_agents=8 seed=2026 -> OK (234.5 min) -- hebbian_results_v2_original_sweep/n8_seed2026/log.txt
[34/45] n_agents=8 seed=777 -> OK (309.9 min) -- hebbian_results_v2_original_sweep/n8_seed777/log.txt
[35/45] n_agents=9 seed=123 -> OK (239.2 min) -- hebbian_results_v2_original_sweep/n9_seed123/log.txt
[36/45] n_agents=8 seed=888 -> OK (347.1 min) -- hebbian_results_v2_original_sweep/n8_seed888/log.txt
[37/45] n_agents=9 seed=777 -> OK (307.7 min) -- hebbian_results_v2_original_sweep/n9_seed777/log.txt
[38/45] n_agents=9 seed=42 -> OK (356.4 min) -- hebbian_results_v2_original_sweep/n9_seed42/log.txt
[39/45] n_agents=9 seed=2026 -> OK (315.7 min) -- hebbian_results_v2_original_sweep/n9_seed2026/log.txt
[40/45] n_agents=9 seed=888 -> OK (306.8 min) -- hebbian_results_v2_original_sweep/n9_seed888/log.txt
[41/45] n_agents=10 seed=777 -> OK (265.3 min) -- hebbian_results_v2_original_sweep/n10_seed777/log.txt
[42/45] n_agents=10 seed=123 -> OK (308.5 min) -- hebbian_results_v2_original_sweep/n10_seed123/log.txt
[43/45] n_agents=10 seed=42 -> OK (353.1 min) -- hebbian_results_v2_original_sweep/n10_seed42/log.txt
[44/45] n_agents=10 seed=2026 -> OK (244.8 min) -- hebbian_results_v2_original_sweep/n10_seed2026/log.txt
[45/45] n_agents=10 seed=888 -> OK (257.0 min) -- hebbian_results_v2_original_sweep/n10_seed888/log.txt

🎉 Sweep complete in 25.39 hours (1 day, 1:23:25).
   45/45 runs succeeded.
